[1]	read	(Read)
[1]	x	(ID)
[1]	;	(SemiColon)
[1]	{	(LeftBrace)
[1]	{	(RightBrace)
[2]	if	(If)
[2]	0	(Num)
[2]	<	(LessThan)
[2]	x	(ID)
[2]	then	(Then)
[2]	{	(LeftBrace)
[2]	{	(RightBrace)
[3]	fact	(ID)
[3]	:=	(Assign)
[3]	1	(Num)
[3]	;	(SemiColon)
[4]	repeat	(Repeat)
[5]	fact	(ID)
[5]	:=	(Assign)
[5]	fact	(ID)
[5]	*	(Times)
[5]	x	(ID)
[5]	;	(SemiColon)
[6]	x	(ID)
[6]	:=	(Assign)
[6]	x	(ID)
[6]	-	(Minus)
[6]	1	(Num)
[7]	until	(Until)
[7]	x	(ID)
[7]	=	(Equal)
[7]	0	(Num)
[7]	;	(SemiColon)
[8]	write	(Write)
[8]	fact	(ID)
[8]	{	(LeftBrace)
[8]	{	(RightBrace)
[9]	end	(End)
